Geneid,Length,Description
TRINITY_DN214893_c0_g1_i5,4129,Probable inorganic phosphate transporter 1-5
TRINITY_DN213033_c0_g1_i8,4119,Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC
TRINITY_DN214323_c1_g2_i8,4114,Endonuclease MutS2
TRINITY_DN213424_c0_g1_i1,4096,Uncharacterized protein At3g49140
TRINITY_DN183278_c2_g1_i1,4095,Phenylalanine--tRNA ligase alpha subunit
TRINITY_DN208124_c0_g1_i9,4092,"Methionine--tRNA ligase, chloroplastic/mitochondrial"
TRINITY_DN207584_c0_g1_i5,4068,Protein PNS1
TRINITY_DN211317_c0_g1_i3,4036,ABC transporter C family member 4
TRINITY_DN216555_c0_g1_i11,4031,Probable ion channel CASTOR
TRINITY_DN190684_c0_g1_i1,4013,UDP-N-acetylenolpyruvoylglucosamine reductase
TRINITY_DN211419_c1_g1_i14,4009,Dynamin-like protein ARC5
TRINITY_DN215688_c2_g2_i3,3996,ATP-dependent DNA helicase PIF4
TRINITY_DN217204_c2_g1_i8,3990,CHD3-type chromatin-remodeling factor PICKLE
TRINITY_DN191978_c1_g1_i1,3984,Valine--tRNA ligase
TRINITY_DN200328_c0_g1_i3,3954,Probable histone acetyltransferase HAC-like 1
TRINITY_DN214860_c0_g1_i7,3947,Katanin p80 WD40 repeat-containing subunit B1 homolog
TRINITY_DN211672_c1_g2_i5,3947,Serine/threonine-protein kinase CTR1
TRINITY_DN212588_c0_g2_i8,3945,Retrovirus-related Pol polyprotein from transposon TNT 1-94
TRINITY_DN214640_c0_g1_i12,3939,"ATP-dependent DNA helicase homolog RECG, chloroplastic"
TRINITY_DN192532_c5_g1_i2,3931,Glycogen debranching enzyme
TRINITY_DN207700_c0_g1_i2,3928,Pentatricopeptide repeat-containing protein At5g16860
TRINITY_DN209386_c2_g1_i6,3912,NA
TRINITY_DN211848_c0_g1_i10,3907,ATP-dependent DNA helicase 2 subunit KU80
TRINITY_DN205196_c0_g2_i1,3902,Putative disease resistance RPP13-like protein 1
TRINITY_DN193374_c2_g2_i1,3890,50S ribosomal protein L2
TRINITY_DN211320_c0_g1_i5,3861,NA
TRINITY_DN208656_c0_g1_i3,3849,Putative disease resistance protein RGA4
TRINITY_DN216566_c3_g1_i2,3837,Nuclear poly(A) polymerase 2
TRINITY_DN213098_c0_g4_i2,3832,"Alpha-glucan water dikinase, chloroplastic"
TRINITY_DN195088_c0_g1_i1,3816,Putative disease resistance protein RGA3
TRINITY_DN216921_c1_g2_i2,3810,DEAD-box ATP-dependent RNA helicase 42
TRINITY_DN215810_c0_g1_i5,3796,DNA topoisomerase 1
TRINITY_DN217097_c0_g1_i2,3788,Nuclear factor related to kappa-B-binding protein
TRINITY_DN216862_c1_g1_i7,3782,"Probable NAD kinase 2, chloroplastic"
TRINITY_DN207155_c0_g1_i1,3770,"D-xylose-proton symporter-like 3, chloroplastic"
TRINITY_DN208014_c1_g1_i4,3703,Pentatricopeptide repeat-containing protein At1g73710
TRINITY_DN210473_c1_g2_i5,3696,NA
TRINITY_DN208253_c0_g1_i6,3693,"Acyltransferase-like protein At1g54570, chloroplastic"
TRINITY_DN202016_c0_g2_i6,3669,Kinesin-like protein KIN-5C
TRINITY_DN216962_c2_g1_i10,3641,Beta-galactosidase
TRINITY_DN211066_c0_g2_i4,3601,Wall-associated receptor kinase 2
TRINITY_DN212920_c0_g1_i5,3588,Midasin
TRINITY_DN184862_c0_g1_i1,3579,NA
TRINITY_DN190398_c0_g1_i1,3575,Uncharacterized protein Rv2219
TRINITY_DN203292_c0_g1_i3,3556,Pentatricopeptide repeat-containing protein At4g33170
TRINITY_DN212513_c0_g1_i6,3547,NA
TRINITY_DN204595_c0_g1_i1,3541,Cytochrome P450 703A2
TRINITY_DN214419_c2_g1_i18,3537,NA
TRINITY_DN200095_c1_g1_i7,3511,NA
TRINITY_DN215629_c0_g1_i12,3489,Kinesin-like protein KIN-14J
TRINITY_DN214706_c1_g1_i2,3487,DEAD-box ATP-dependent RNA helicase 50
TRINITY_DN217925_c2_g1_i6,3482,NA
TRINITY_DN188659_c0_g3_i1,3475,Uncharacterized HTH-type transcriptional regulator Mb1861
TRINITY_DN214343_c0_g1_i7,3469,Protein FAR1-RELATED SEQUENCE 5
TRINITY_DN201357_c0_g1_i1,3451,NA
TRINITY_DN195951_c1_g5_i1,3450,LINE-1 reverse transcriptase homolog
TRINITY_DN195503_c2_g1_i12,3427,NA
TRINITY_DN209681_c0_g1_i2,3425,Nucleolar protein 56
TRINITY_DN217166_c1_g1_i11,3425,KH domain-containing protein At4g18375
TRINITY_DN206846_c0_g1_i1,3421,Receptor protein kinase TMK1
TRINITY_DN212052_c0_g1_i4,3415,R3H domain-containing protein 2
TRINITY_DN185659_c0_g1_i1,3401,PTS system glucose-specific EIICBA component
TRINITY_DN194433_c8_g1_i1,3382,NA
TRINITY_DN215118_c1_g1_i2,3380,Coatomer subunit beta-2
TRINITY_DN217709_c2_g1_i1,3375,NA
TRINITY_DN206855_c1_g1_i5,3364,NA
TRINITY_DN216069_c0_g1_i5,3350,Probable ADP-ribosylation factor GTPase-activating protein AGD14
TRINITY_DN202360_c0_g1_i1,3326,Transcription factor MYB3R-4
TRINITY_DN203894_c0_g1_i2,3323,Cysteine and histidine-rich domain-containing protein RAR1
TRINITY_DN214467_c0_g1_i5,3323,AP-2 complex subunit alpha-1
TRINITY_DN214682_c1_g1_i6,3297,Protein yippee-like
TRINITY_DN195843_c0_g1_i6,3294,G-protein coupled receptor 1
TRINITY_DN211920_c0_g1_i1,3292,Coatomer subunit gamma-2
TRINITY_DN210552_c2_g3_i10,3286,NA
TRINITY_DN192908_c0_g1_i1,3280,NA
TRINITY_DN194499_c0_g1_i1,3280,Kinesin-like protein KIN-12A
TRINITY_DN207643_c0_g1_i3,3276,Copia protein
TRINITY_DN209243_c0_g2_i4,3263,Meiosis-specific protein PAIR2
TRINITY_DN196458_c0_g1_i1,3259,50S ribosomal protein L20
TRINITY_DN214708_c1_g1_i4,3258,Pumilio homolog 1
TRINITY_DN212208_c1_g1_i4,3253,NA
TRINITY_DN196599_c2_g1_i1,3253,NA
TRINITY_DN193227_c0_g2_i1,3240,Translation initiation factor IF-2
TRINITY_DN195132_c0_g2_i3,3222,NA
TRINITY_DN186080_c1_g1_i1,3207,Xaa-Pro aminopeptidase 2
TRINITY_DN212707_c0_g1_i6,3206,C2 domain-containing protein At1g53590
TRINITY_DN200491_c2_g1_i1,3200,NA
TRINITY_DN216683_c2_g1_i7,3199,Putative nuclease HARBI1
TRINITY_DN214606_c1_g1_i13,3193,Serine/threonine-protein kinase Nek3
TRINITY_DN216304_c1_g2_i12,3184,NA
TRINITY_DN210891_c4_g1_i6,3183,Beta-glucosidase BoGH3B
TRINITY_DN213454_c1_g4_i1,3172,NA
TRINITY_DN185609_c1_g1_i1,3166,L-asparagine permease
TRINITY_DN200913_c4_g1_i5,3165,Protein ALP1-like
TRINITY_DN206701_c0_g1_i2,3154,"Phosphomevalonate kinase, peroxisomal"
TRINITY_DN205860_c0_g1_i7,3154,NA
TRINITY_DN184971_c0_g1_i1,3149,NA
TRINITY_DN206355_c0_g2_i5,3140,NA
TRINITY_DN214759_c0_g1_i4,3135,Plant intracellular Ras-group-related LRR protein 4
TRINITY_DN214206_c2_g1_i2,3135,NA
TRINITY_DN212650_c0_g1_i2,3128,Zinc finger MYM-type protein 1
TRINITY_DN216996_c1_g2_i1,3123,Lysine-specific demethylase JMJ703
TRINITY_DN206662_c0_g2_i1,3105,"Ribose-phosphate pyrophosphokinase 1, chloroplastic"
TRINITY_DN208526_c0_g1_i3,3100,Pentatricopeptide repeat-containing protein At1g05600
TRINITY_DN213462_c0_g1_i3,3092,"1,4-alpha-glucan-branching enzyme 3, chloroplastic/amyloplastic"
TRINITY_DN217018_c1_g1_i4,3087,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN208436_c0_g1_i2,3080,NA
TRINITY_DN212744_c0_g1_i3,3076,"CRM-domain containing factor CFM3, chloroplastic/mitochondrial"
TRINITY_DN215945_c0_g1_i11,3072,NA
TRINITY_DN205990_c4_g1_i1,3071,NA
TRINITY_DN207085_c0_g2_i1,3067,"Pentatricopeptide repeat-containing protein At1g51965, mitochondrial"
TRINITY_DN207655_c1_g1_i5,3066,Methyltransferase-like protein 6
TRINITY_DN190668_c0_g1_i1,3065,Lysine-specific demethylase JMJ18
TRINITY_DN210900_c0_g1_i1,3064,Adenylyl-sulfate kinase 3
TRINITY_DN210227_c0_g1_i9,3045,V-type proton ATPase subunit a3
TRINITY_DN210935_c1_g4_i7,3043,NA
TRINITY_DN206703_c0_g1_i3,3043,BRCA1-associated RING domain protein 1
TRINITY_DN210925_c0_g1_i3,3039,Pentatricopeptide repeat-containing protein At5g14080
TRINITY_DN215671_c0_g1_i4,3039,DNA-binding protein HEXBP
TRINITY_DN210524_c0_g1_i9,3029,RING-H2 finger protein ATL78
TRINITY_DN200898_c0_g1_i12,3027,NA
TRINITY_DN214399_c0_g1_i1,3011,Serine/arginine-rich splicing factor 6
TRINITY_DN205320_c3_g1_i7,3006,Uncharacterized mitochondrial protein AtMg00310
TRINITY_DN202543_c0_g2_i2,3001,NA
TRINITY_DN214527_c1_g1_i13,2995,"Magnesium-chelatase subunit ChlD, chloroplastic"
TRINITY_DN205537_c0_g1_i1,2990,Pentatricopeptide repeat-containing protein At4g13650
TRINITY_DN208135_c0_g2_i1,2990,Septin and tuftelin-interacting protein 1 homolog 1
TRINITY_DN204210_c1_g2_i3,2983,Lipid phosphate phosphatase 2
TRINITY_DN214403_c0_g1_i2,2980,Protein NBR1 homolog
TRINITY_DN205829_c0_g2_i4,2979,Probable methyltransferase PMT26
TRINITY_DN206852_c1_g1_i8,2975,Ethanolamine-phosphate cytidylyltransferase
TRINITY_DN213782_c0_g2_i1,2974,Receptor like protein 7
TRINITY_DN207352_c0_g1_i27,2974,Probable inactive purple acid phosphatase 27
TRINITY_DN206901_c0_g2_i5,2973,NA
TRINITY_DN201745_c0_g2_i11,2962,Putative transposase InsQ for insertion sequence element IS609
TRINITY_DN209963_c0_g1_i12,2959,Formin-like protein 3
TRINITY_DN199181_c1_g2_i1,2955,NADH dehydrogenase [ubiquinone] iron-sulfur protein 2
TRINITY_DN212779_c0_g1_i19,2948,D-alanine--D-alanine ligase
TRINITY_DN211653_c1_g2_i4,2947,Galactoside 2-alpha-L-fucosyltransferase
TRINITY_DN183584_c1_g2_i1,2947,Cardiomyopathy-associated protein 5
TRINITY_DN214208_c0_g1_i9,2942,NA
TRINITY_DN215599_c0_g1_i2,2935,Nitrate regulatory gene2 protein
TRINITY_DN214262_c1_g1_i1,2932,Disease resistance protein RPS5
TRINITY_DN202976_c0_g1_i3,2917,"Protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic"
TRINITY_DN215840_c0_g1_i3,2915,Two-component response regulator-like PRR37
TRINITY_DN214921_c0_g1_i4,2912,WPP domain-associated protein
TRINITY_DN186318_c0_g1_i1,2906,Sialic acid transporter NanT
TRINITY_DN183434_c0_g1_i1,2904,Exopolyphosphatase 2
TRINITY_DN212046_c1_g1_i1,2900,Acyl-CoA-binding domain-containing protein 6
TRINITY_DN211520_c0_g1_i2,2897,NA
TRINITY_DN212454_c2_g1_i8,2882,Probable protein transport Sec1b
TRINITY_DN195997_c0_g4_i3,2882,NA
TRINITY_DN209035_c0_g1_i8,2881,ADP-ribosylation factor 3
TRINITY_DN208935_c0_g1_i5,2871,"5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase, chloroplastic"
TRINITY_DN203823_c1_g1_i3,2870,NA
TRINITY_DN210815_c1_g1_i12,2867,Alpha-galactosidase 1
TRINITY_DN213981_c3_g3_i1,2857,NA
TRINITY_DN184236_c0_g1_i1,2856,Carnitine transport ATP-binding protein OpuCA
TRINITY_DN182946_c0_g1_i3,2851,Uncharacterized mitochondrial protein AtMg00310
TRINITY_DN207049_c0_g1_i1,2850,Transcription factor MYC2
TRINITY_DN207196_c0_g1_i3,2847,THO complex subunit 4B
TRINITY_DN199674_c1_g1_i3,2844,NA
TRINITY_DN208661_c1_g1_i4,2843,Protein YIPF6
TRINITY_DN214055_c0_g1_i10,2834,Methionine gamma-lyase
TRINITY_DN179731_c0_g1_i2,2830,S-formylglutathione hydrolase FrmB
TRINITY_DN200937_c0_g1_i12,2827,Cinnamoyl-CoA reductase-like SNL6
TRINITY_DN211811_c0_g1_i2,2823,ABC transporter C family member 8
TRINITY_DN216155_c1_g1_i3,2818,NA
TRINITY_DN210911_c0_g1_i4,2817,"Pentatricopeptide repeat-containing protein At5g46580, chloroplastic"
TRINITY_DN215056_c1_g1_i1,2812,Transmembrane 9 superfamily member 3
TRINITY_DN209632_c0_g1_i4,2811,Ubiquitin-like modifier-activating enzyme 5
TRINITY_DN210066_c2_g1_i3,2810,"Nudix hydrolase 20, chloroplastic"
TRINITY_DN207725_c0_g1_i2,2803,Tetratricopeptide repeat protein 38
TRINITY_DN212035_c0_g1_i1,2800,NA
TRINITY_DN213292_c1_g1_i2,2797,NA
TRINITY_DN218035_c3_g1_i2,2790,Putative pentatricopeptide repeat-containing protein At4g17915
TRINITY_DN210695_c0_g1_i6,2784,Probable protein phosphatase 2C 14
TRINITY_DN215729_c0_g1_i11,2783,NA
TRINITY_DN195176_c1_g2_i1,2780,"Peptidyl-prolyl cis-trans isomerase FKBP16-4, chloroplastic"
TRINITY_DN206887_c2_g1_i11,2779,Syntaxin-51
TRINITY_DN209304_c0_g1_i5,2777,Brefeldin A-inhibited guanine nucleotide-exchange protein 1
TRINITY_DN215438_c3_g3_i1,2775,Probable LRR receptor-like serine/threonine-protein kinase At3g47570
TRINITY_DN199833_c0_g1_i1,2769,NA
TRINITY_DN208419_c0_g1_i7,2768,ATP-dependent helicase rhp16
TRINITY_DN213349_c0_g1_i1,2767,Prolyl endopeptidase
TRINITY_DN214884_c0_g2_i4,2765,E3 ubiquitin-protein ligase UPL2
TRINITY_DN197789_c0_g3_i6,2738,NA
TRINITY_DN204660_c0_g1_i2,2738,Disease resistance protein RPM1
TRINITY_DN207149_c0_g1_i10,2737,Exosome complex component RRP45B
TRINITY_DN218192_c4_g1_i3,2737,Eukaryotic initiation factor 4A-III homolog B
TRINITY_DN207679_c1_g1_i4,2733,Putative disease resistance protein RGA3
TRINITY_DN186918_c0_g2_i1,2732,Magnesium-chelatase subunit ChlI
TRINITY_DN214054_c0_g1_i1,2730,"Nuclear intron maturase 1, mitochondrial"
TRINITY_DN210976_c2_g1_i8,2729,Bromodomain and PHD finger-containing protein 3
TRINITY_DN203319_c1_g1_i3,2725,NA
TRINITY_DN208025_c0_g1_i2,2722,Pentatricopeptide repeat-containing protein At4g21065
TRINITY_DN209568_c0_g1_i14,2720,E3 ubiquitin-protein ligase RGLG3
TRINITY_DN212553_c0_g1_i5,2718,"Alpha-glucan phosphorylase, H isozyme"
TRINITY_DN210497_c0_g1_i5,2703,Probable inactive poly [ADP-ribose] polymerase SRO2
TRINITY_DN211056_c2_g1_i8,2690,OTU domain-containing protein At3g57810
TRINITY_DN207597_c0_g1_i4,2688,Protein ENHANCED DOWNY MILDEW 2
TRINITY_DN211172_c0_g1_i30,2687,Probable polyamine oxidase 4
TRINITY_DN197082_c6_g1_i1,2684,LINE-1 retrotransposable element ORF2 protein
TRINITY_DN203610_c0_g1_i3,2683,Probable protein phosphatase 2C 67
TRINITY_DN214908_c2_g1_i17,2681,"D-3-phosphoglycerate dehydrogenase 1, chloroplastic"
TRINITY_DN200945_c0_g3_i9,2681,NA
TRINITY_DN186113_c0_g1_i1,2675,Uncharacterized protein Mb2951c
TRINITY_DN196862_c0_g1_i4,2671,NA
TRINITY_DN191171_c4_g1_i11,2670,NA
TRINITY_DN199329_c2_g9_i1,2665,Putative receptor-like protein kinase At3g47110
TRINITY_DN201072_c2_g1_i4,2663,NA
TRINITY_DN198902_c2_g1_i11,2658,NA
TRINITY_DN205262_c0_g1_i3,2655,Auxin-responsive protein SAUR41
TRINITY_DN207227_c1_g1_i2,2652,indole-2-monooxygenase
TRINITY_DN209263_c1_g3_i4,2651,WAT1-related protein At5g45370
TRINITY_DN212231_c1_g1_i3,2647,Receptor-like protein kinase FERONIA
TRINITY_DN188191_c0_g1_i1,2632,ABC transporter G family member 4
TRINITY_DN214961_c0_g2_i5,2630,Serine/threonine-protein phosphatase 6 regulatory subunit 2
TRINITY_DN212161_c0_g1_i4,2629,Protein MICRORCHIDIA 6
TRINITY_DN218129_c2_g1_i9,2625,YTH domain-containing family protein 1
TRINITY_DN204476_c0_g1_i7,2621,Casein kinase II subunit alpha-3
TRINITY_DN212922_c1_g1_i3,2620,Probable protein phosphatase 2C 60
TRINITY_DN128628_c0_g1_i1,2620,MAP kinase-interacting serine/threonine-protein kinase 2
TRINITY_DN206220_c0_g3_i1,2615,Nuclear poly(A) polymerase 2
TRINITY_DN195426_c0_g1_i2,2614,Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM2
TRINITY_DN205919_c1_g2_i5,2611,Golgi to ER traffic protein 4 homolog
TRINITY_DN215939_c0_g4_i4,2609,Lysine-specific demethylase JMJ25
TRINITY_DN214918_c1_g1_i6,2606,DExH-box ATP-dependent RNA helicase DExH10
TRINITY_DN187702_c1_g3_i1,2606,Biotin biosynthesis bifunctional protein BioWF
TRINITY_DN211073_c0_g1_i2,2606,NA
TRINITY_DN215086_c0_g1_i8,2600,Transcription factor APG
TRINITY_DN214815_c2_g1_i9,2599,Transcriptional corepressor SEUSS
TRINITY_DN199295_c0_g1_i8,2597,Renalase
TRINITY_DN216204_c2_g1_i1,2596,DEAD-box ATP-dependent RNA helicase 18
TRINITY_DN197889_c1_g3_i2,2585,Probable LRR receptor-like serine/threonine-protein kinase At3g47570
TRINITY_DN185175_c0_g1_i1,2578,"Pyruvate, phosphate dikinase"
TRINITY_DN196533_c1_g4_i1,2577,NA
TRINITY_DN205637_c0_g5_i1,2572,NA
TRINITY_DN216512_c1_g1_i3,2571,Protein FORGETTER 1
TRINITY_DN201174_c0_g1_i2,2569,NA
TRINITY_DN188319_c0_g4_i1,2563,Receptor-like protein 9DC3
TRINITY_DN197357_c0_g2_i11,2563,NA
TRINITY_DN209906_c0_g1_i9,2560,Probable DNA helicase MCM9
TRINITY_DN205720_c1_g1_i5,2560,Aspartic proteinase-like protein 2
TRINITY_DN205136_c0_g1_i1,2560,ADP-ribosylation factor GTPase-activating protein AGD2
TRINITY_DN209012_c0_g1_i6,2559,NA
TRINITY_DN211096_c0_g1_i1,2559,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130
TRINITY_DN216944_c0_g2_i7,2558,DNA repair protein REV1
TRINITY_DN191214_c1_g1_i4,2556,NA
TRINITY_DN213311_c0_g1_i13,2553,"ABC transporter B family member 26, chloroplastic"
TRINITY_DN209016_c0_g1_i5,2552,High mobility group B protein 6
TRINITY_DN213089_c0_g1_i7,2551,NA
TRINITY_DN204578_c1_g1_i4,2549,NA
TRINITY_DN204324_c0_g2_i4,2539,NA
TRINITY_DN202171_c0_g1_i3,2539,NA
TRINITY_DN207635_c0_g1_i3,2538,NA
TRINITY_DN179040_c0_g1_i1,2537,NA
TRINITY_DN205002_c3_g1_i2,2536,NA
TRINITY_DN205660_c4_g1_i1,2533,Beta-taxilin
TRINITY_DN200706_c2_g2_i1,2528,Serine/threonine-protein kinase RIPK
TRINITY_DN212806_c1_g1_i19,2527,NA
TRINITY_DN215879_c0_g1_i4,2523,Trafficking protein particle complex II-specific subunit 120 homolog
TRINITY_DN214236_c2_g1_i6,2521,Serrate RNA effector molecule
TRINITY_DN206143_c0_g1_i1,2514,Probable serine/threonine-protein kinase PBL2
TRINITY_DN210259_c1_g1_i1,2512,Pre-mRNA-processing factor 17
TRINITY_DN207374_c0_g1_i2,2510,Inositol-tetrakisphosphate 1-kinase 2
TRINITY_DN193615_c0_g1_i3,2504,Vacuolar-sorting receptor 1
TRINITY_DN212997_c0_g1_i5,2502,Uncharacterized zinc finger CCHC domain-containing protein At4g19190
TRINITY_DN199458_c0_g1_i4,2501,Putative ataxin-3 homolog
TRINITY_DN209365_c0_g1_i12,2499,NA
TRINITY_DN199898_c1_g3_i11,2499,Probable prolyl 4-hydroxylase 3
TRINITY_DN206200_c0_g1_i3,2498,Cysteine-rich receptor-like protein kinase 6
TRINITY_DN208269_c3_g1_i7,2495,NA
TRINITY_DN209173_c2_g1_i6,2495,"5-epiaristolochene 1,3-dihydroxylase"
TRINITY_DN217897_c3_g1_i1,2494,"Monodehydroascorbate reductase 3, cytosolic"
TRINITY_DN204730_c0_g2_i7,2492,NA
TRINITY_DN188308_c0_g1_i6,2492,NA
TRINITY_DN200574_c1_g1_i6,2492,NA
TRINITY_DN195075_c3_g1_i4,2490,NA
TRINITY_DN195045_c1_g1_i2,2489,NA
TRINITY_DN194259_c1_g2_i5,2477,NA
TRINITY_DN195426_c0_g2_i1,2475,"Transketolase, chloroplastic"
TRINITY_DN203963_c0_g3_i3,2474,NA
TRINITY_DN209411_c0_g1_i2,2474,Wall-associated receptor kinase-like 20
TRINITY_DN216074_c0_g1_i2,2472,NA
TRINITY_DN207093_c1_g1_i3,2472,Protein NRT1/ PTR FAMILY 7.3
TRINITY_DN208428_c0_g1_i1,2465,NA
TRINITY_DN203190_c1_g1_i4,2463,Serine/threonine-protein phosphatase PP1
TRINITY_DN209018_c1_g1_i2,2461,AUGMIN subunit 3
TRINITY_DN202434_c0_g2_i1,2459,NA
TRINITY_DN201216_c1_g2_i3,2459,NA
TRINITY_DN210741_c0_g1_i3,2458,NA
TRINITY_DN201764_c1_g5_i1,2456,NA
TRINITY_DN211823_c0_g1_i5,2452,Uncharacterized protein At4g14342
TRINITY_DN202379_c2_g3_i4,2451,Cyclic nucleotide-gated ion channel 2
TRINITY_DN204510_c2_g1_i1,2447,F-box/FBD/LRR-repeat protein At1g13570
TRINITY_DN212091_c0_g1_i1,2447,Alpha-galactosidase A
TRINITY_DN213244_c1_g1_i1,2442,NA
TRINITY_DN201633_c0_g1_i14,2439,"L-2-hydroxyglutarate dehydrogenase, mitochondrial"
TRINITY_DN196305_c1_g1_i8,2436,Pseudouridylate synthase 7 homolog
TRINITY_DN197187_c0_g3_i1,2435,"Ribosomal protein S2, mitochondrial"
TRINITY_DN208271_c0_g1_i8,2434,Ankyrin repeat-containing protein ITN1
TRINITY_DN205451_c0_g1_i2,2433,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2"
TRINITY_DN214915_c2_g1_i5,2433,"Probable glutamyl endopeptidase, chloroplastic"
TRINITY_DN206231_c1_g3_i1,2418,NA
TRINITY_DN204726_c1_g1_i4,2417,NA
TRINITY_DN192077_c16_g1_i1,2414,NA
TRINITY_DN218264_c1_g1_i7,2409,NA
TRINITY_DN202299_c0_g2_i7,2401,CBL-interacting protein kinase 26
TRINITY_DN208568_c0_g1_i6,2397,NA
TRINITY_DN216951_c1_g1_i2,2395,Uncharacterized protein sll0005
TRINITY_DN212986_c2_g1_i7,2391,NA
TRINITY_DN204873_c2_g1_i6,2387,NA
TRINITY_DN207071_c0_g3_i1,2387,Choline transporter protein 1
TRINITY_DN212616_c0_g1_i4,2382,NA
TRINITY_DN214839_c1_g1_i3,2382,CBL-interacting protein kinase 9
TRINITY_DN211661_c0_g1_i3,2379,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog
TRINITY_DN213192_c0_g1_i10,2377,Serine/threonine-protein kinase PCRK1
